n_1000_c_1000000_g_10_f_0.3_eps_0.01_s_300,1027185
n_1000_c_1000000_g_10_f_0.3_eps_0.01_s_100,1008669
n_1000_c_1000000_g_2_f_0.3_eps_0.01_s_100,525839
n_400_c_1000000_g_10_f_0.3_eps_0.01_s_300,1012816
n_400_c_100000000_g_2_f_0.3_eps_0.01_s_100,51006643
n_400_c_1000000_g_2_f_0.3_eps_0.01_s_300,527210
n_1000_c_100000000_g_2_f_0.3_eps_0.01_s_300,51045515
n_400_c_100000000_g_10_f_0.3_eps_0.01_s_100,100002466
n_400_c_100000000_g_10_f_0.3_eps_0.01_s_300,100011522
n_1000_c_100000000_g_2_f_0.3_eps_0.01_s_100,51014809
n_400_c_1000000_g_2_f_0.3_eps_0.01_s_100,516433
n_1000_c_1000000_g_2_f_0.3_eps_0.01_s_300,552957
n_400_c_1000000_g_10_f_0.3_eps_0.01_s_100,1004144
n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_100,100008644
n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_300,100025150
n_400_c_100000000_g_2_f_0.3_eps_0.01_s_300,51020037
